NewCode,Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
E09000001,City of London,5009,5117.1,5126.2,5263.3,5374.4,5373.5,5374.6,5420.7,5466.8,5458.9,5513,5531,5566,6003,6229,6306,6313,6451
E09000002,Barking and Dagenham,68298,68525.7,68837.4,68899.1,69260.8,69528.5,69835.2,70550.9,70838.6,70946.3,71079,71431,71937,72668,73182,73914,74510,74923
E09000003,Barnet,130515,130800.6,131883.2,132855.8,133902.4,134941,135428.6,136680.2,137768.8,138616.4,139346,141460.645481629,142834.645481629,143947.645481629,145271.645481629,146729.645481629,148528.645481629,150736.645481629
E09000004,Bexley,91606,91907.6,92223.2,92949.8,93220.4,93433,93745.6,94078.2,94370.8,94798.4,95037,95240,95658,96186,96996,96864,97628,97905
E09000005,Brent,101427,102828.1,103846.2,104454.3,105093.4,106767.5,107969.6,109036.7,110243.8,111413.9,112083,112643,113305,114039,115598,116649,118013,118707
E09000006,Bromley,128717,128974.2,129314.4,129808.6,130639.8,131387,132339.2,133112.4,133672.6,134297.8,135036,135612,136304,136453,136864,137564,138422,138976
E09000007,Camden,93112,93884.1,94460.2,94841.3,95563.4,96350.5,96997.6,97516.7,98556.8,99138.9,99828,100196,100760,101214,101653,102618,103826,104771
E09000008,Croydon,141300,141423.6,141819.2,142176.8,142566.4,142961,143713.6,144896.2,146151.8,147249.4,148099,148806,149697,150992,152515,154559,157394,159470
E09000009,Ealing,120331,120589.7,120922.4,121428.1,121909.8,122743.5,124111.2,125530.9,126380.6,126901.3,127187,127872,128862,129631,130528,131249,132094,133551
E09000010,Enfield,112948,114130.9,115273.8,116337.7,117055.6,117613.5,118667.4,119946.3,120623.2,121243.1,122042,122339,122888,123400,123799,124471,125369,125755
E09000011,Greenwich,95406,95971.9,96745.8,98181.7,99806.6,101193.5,101931.4,102257.3,102560.2,102651.1,103186,104509,104623,105735,106883,108603,110983,112884
E09000012,Hackney,87208,88556.5565012378,90216.1130024755,91587.6695037133,92738.2260049511,93940.7825061888,95391.3390074266,97301.8955086644,99689.4520099022,101657.00851114,102408,103564.601864181,104364.601864181,105489.601864181,106747.601864181,107573.601864181,108769.601864181,110036.601864181
E09000013,Hammersmith and Fulham,77095,77287.3,77608.6,78197.9,78666.2,79314.5,79968.8,80510.1,80994.4,81901.7,82390,82861,83281,83907,85267,85635,86609,88140
E09000014,Haringey,93638,94320.6842980078,95142.3685960156,95714.0528940233,97168.7371920311,98339.4214900389,99827.1057880467,100959.790086054,102294.474384062,103430.15868207,104173,105456,106033,106507,106640,106879,107620,108820
E09000015,Harrow,80734,80963.1,81524.2,82053.3,82704.4,83362.5,84071.6,84534.7,85394.8,85993.9,86524,86994,87709,88004,88414,89324,89980,90680
E09000016,Havering,93792,94194.4693386774,94552.9386773547,95182.4080160321,95726.8773547094,96191.3466933868,97131.8160320641,97551.2853707415,98288.7547094188,98805.2240480962,99184,99226,99463,99619,100261,101273,101716,101993
E09000017,Hillingdon,99060,99327.5,99766,100305.5,100646,101240.5,101525,102019.5,102901,103507.5,103907,104896,106363,106917,107462,108171,108935,109777
E09000018,Hounslow,85810,86521.2,87433.4,88607.6,89508.8,90367,92108.2,94100.4,94968.6,95892.8,96892,97472,97704,98390,98787,99267,99824,100735
E09000019,Islington,83244,84255.3,85983.6,87262.9,87942.2,88819.5,90649.8,92378.1,94707.4,96300.7,96872,98096,99015,100258,100756,101783,102457,102824
E09000020,Kensington and Chelsea,83751,83818.7,83965.4,84363.1,84517.8,84595.5,84630.2,84576.9,84552.6,84756.3,84798,84900,84957,85553,86537,86921,87276,87611
E09000021,Kingston upon Thames,62474,62620.6,62868.2,63404.8,63918.4,64249,64546.6,64812.2,64971.8,65086.4,65198,65422,65625,65886,66412,66651,66924,67141
E09000022,Lambeth,120390,121455,122013,122819,123839,125207,126555,127978,129289,130655,132213,133063,133598,134852,136263,137610,138745,140288
E09000023,Lewisham,108964,109434.5,109746,110807.5,111594,112631.5,113286,114369.5,115576,116639.5,117651,118839,120637,121350,122818,124357,125961,126487
E09000024,Merton,80789,80602.2,80475.4,80332.6,80270.8,80541,80534.2,80683.4,81049.6,80970.8,80919,81429,81842,82282,82707,83215,83649,84297
E09000025,Newham,93390,94609.4,95490.8,96805.2,97377.6,98274,98994.4,99914.8,100984.2,102443.6,103212,104121,104791,106760,108810,110251,112628,114474
E09000026,Redbridge,93989,94682.2,95500.4,96195.6,96902.8,97665,98687.2,99313.4,99937.6,100888.8,101348,101874,102138,102396,102653,102707,103462,103924
E09000027,Richmond upon Thames,78411,78675.8,78956.6,79248.4,79877.2,80819,81104.8,81457.6,81853.4,82116.2,82482,82691,83176,83540,83781,84294,84759,85141
E09000028,Southwark,107119,107540.1,108467.2,110145.3,112162.4,113730.5,116041.6,118188.7,119656.8,121411.9,123265,124319,125566,127217,128358,129740,132152,132970
E09000029,Sutton,77701,77734.4,77855.8,78054.2,78353.6,78498,78633.4,79115.8,79444.2,79507.6,79696,80283,80510,80810,81237,81628,82281,82978
E09000030,Tower Hamlets,80225,82185,83659,85341,88380,91356,94373,97010,100471,103509,105379,108254.129261364,109215.129261364,109875.129261364,110791.129261364,113185.129261364,118012.129261364,120015.129261364
E09000031,Waltham Forest,91992,92409.3,92699.6,92990.9,93618.2,94380.5,95302.8,96281.1,97247.4,97623.7,98279,98783,99251,99640,100311,101284,102317,103029
E09000032,Wandsworth,120744,121619.6,122821.2,124137.8,125880.4,127243,128945.6,130226.2,132059.8,133885.4,134619,135601,136558,137757,138841,141579,143915,146162
E09000033,Westminster,101213,103123.7,104540.4,106760.1,108199.8,110180.5,111743.2,113412.9,115046.6,116644.3,118318,119245,119837,120367,121116,122024,123366,124509