NewCode,Area,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-2018,2018-2019
E12000007,London,54.23,55.25,58.00,60.17,62.36,64.65,65.11,66.58,69.58,72.77,76.79,79.72,82.43,83.4,-,-,101.45,104.94,107.93,107.92,106.24,105.72
E09000001,City of London,55.82,56.83,58.58,58.70,60.43,63.12,65.54,68.36,66.70,65.39,69.98,73.07,75.34,76.64,83.00,90.16,95.18,100.69,104.73,105.66,104.62,100.51
E09000002,Barking and Dagenham,42.10,44.43,49.68,52.24,54.52,57.56,58.42,60.70,63.06,66.13,71.07,74.05,72.70,73.97,79.30,88.10,90.39,90.82,98.58,.,97.27,94.89
E09000003,Barnet,52.60,52.59,55.35,56.92,57.78,61.90,62.24,64.83,67.76,70.98,75.08,79.55,81.77,83.17,95.75,98.46,98.62,103.27,103.36,102.34,102.75,102.52
E09000004,Bexley,58.52,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT
E09000005,Brent,69.05,70.37,72.59,72.81,74.48,74.15,74.28,77.03,79.87,78.64,83.32,86.83,87.48,88.35,95.08,106.33,112.81,114.53,113.62,112.51,113.66,113.25
E09000006,Bromley,42.72,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT
E09000007,Camden,59.69,60.76,59.77,62.92,65.30,68.93,69.79,68.18,72.14,75.28,78.60,81.90,84.51,85.64,91.54,103.96,103.96,109.79,114.72,113.57,113.03,112.59
E09000008,Croydon,62.78,62.78,64.20,67.95,65.69,69.05,65.53,67.89,70.48,73.68,79.19,81.57,84.33,85.12,95.81,100.13,104.99,107.31,106.64,105.45,104.42,103.40
E09000009,Ealing,58.72,59.11,60.85,63.26,65.82,67.77,64.20,66.52,69.01,73.68,77.45,78.67,82.02,82.02,86.14,91.98,91.95,95.21,97.45,96.47,95.81,95.83
E09000010,Enfield,52.79,53.50,55.55,57.93,62.75,65.74,64.87,66.72,69.05,72.05,76.93,79.10,81.06,81.27,86.30,92.44,96.10,102.75,101.78,100.97,100.38,101.06
E09000011,Greenwich,51.14,53.95,56.25,54.65,59.00,60.93,63.87,64.96,67.44,70.55,75.87,78.44,80.58,81.55,87.07,93.52,97.46,102.18,104.62,103.58,90.71,89.90
E09000012,Hackney,55.25,56.11,56.62,58.47,61.71,64.72,59.19,61.33,65.00,67.81,72.22,74.67,78.84,79.31,88.83,94.42,99.45,99.53,102.57,101.55,100.55,99.97
E09000013,Hammersmith and Fulham,54.26,56.18,57.98,59.13,61.37,63.97,64.80,68.02,71.19,74.60,81.42,82.78,85.30,86.42,92.19,92.60,99.31,105.92,109.44,108.34,107.94,107.48
E09000014,Haringey,56.02,58.96,58.94,60.48,62.14,65.32,62.83,65.44,68.74,72.14,76.95,79.71,82.53,83.43,87.50,94.01,98.28,103.27,107.12,106.44,105.56,104.63
E09000015,Harrow,65.17,67.21,66.77,68.65,70.67,73.35,75.38,77.36,77.37,77.36,78.71,81.06,84.00,86.60,95.70,102.08,108.79,112.48,114.99,113.80,113.08,112.13
E09000016,Havering,44.95,45.18,46.83,48.26,49.21,52.67,53.43,55.19,55.73,58.59,62.71,66.39,68.45,69.73,75.03,81.20,85.72,91.49,90.64,97.29,98.15,.
E09000017,Hillingdon,64.20,65.28,66.71,68.80,70.82,72.40,74.13,76.06,78.07,80.88,84.28,86.09,88.71,89.98,95.22,101.40,104.53,110.62,109.99,108.95,108.05,109.02
E09000018,Hounslow,50.81,52.01,52.89,55.85,57.91,61.25,62.20,64.80,67.47,70.84,75.95,77.89,77.42,78.73,84.35,91.36,95.92,101.45,105.22,104.60,106.50,.
E09000019,Islington,57.16,58.36,60.00,62.32,64.46,68.59,67.08,67.09,70.41,73.92,79.01,81.59,84.42,85.86,92.07,100.49,105.84,111.85,115.91,116.45,116.55,117.30
E09000020,Kensington and Chelsea,68.72,68.16,68.17,68.15,70.23,74.01,77.91,79.69,79.47,79.41,82.52,86.93,89.79,90.86,96.99,106.77,111.87,118.83,123.91,123.06,122.15,121.14
E09000021,Kingston upon Thames,61.64,63.43,63.99,66.33,66.44,70.14,71.03,71.54,74.85,79.28,84.81,86.25,89.23,90.14,96.62,104.15,107.60,113.79,116.94,116.42,116.13,113.10
E09000022,Lambeth,54.01,55.24,57.72,59.88,61.63,62.52,66.07,67.85,69.89,73.78,69.76,72.85,82.22,85.18,98.18,98.12,102.12,107.06,110.18,108.06,107.73,106.93
E09000023,Lewisham,48.90,49.82,52.15,55.00,57.03,59.16,58.45,61.57,64.44,67.52,70.90,74.64,76.67,77.01,81.67,91.23,95.91,98.45,98.12,96.34,95.53,94.63
E09000024,Merton,53.05,54.06,54.83,56.02,58.36,61.95,59.77,63.02,66.07,69.46,69.46,77.16,MYT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT
E09000025,Newham,44.21,44.92,49.40,54.35,56.35,58.63,60.05,57.88,60.59,63.62,68.33,71.04,73.18,74.29,98.24,105.82,100.04,96.08,100.84,103.13,99.69,99.17
E09000026,Redbridge,66.36,67.56,67.65,69.14,70.00,68.27,68.05,70.35,71.79,74.42,79.31,81.40,83.60,83.79,89.25,98.72,102.82,105.11,104.70,104.80,104.76,105.26
E09000027,Richmond upon Thames,54.54,56.09,61.13,62.41,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT,LSVT
E09000028,Southwark,50.56,49.70,54.74,56.56,58.84,58.24,60.09,61.27,66.50,70.09,73.26,77.42,79.54,80.60,85.20,91.98,96.46,99.11,103.90,100.76,100.13,98.75
E09000029,Sutton,53.08,54.63,54.15,56.88,55.23,57.60,59.36,64.41,64.58,69.06,74.55,77.44,79.95,81.31,87.20,94.51,99.41,108.82,108.86,107.74,107.06,107.49
E09000030,Tower Hamlets,49.21,50.52,58.71,62.86,67.67,69.65,70.19,66.76,70.14,73.32,77.33,81.36,83.86,86.46,92.23,99.16,103.56,108.65,112.07,113.90,110.81,109.96
E09000031,Waltham Forest,49.36,52.17,59.54,62.65,64.47,66.68,68.29,70.08,72.08,70.56,79.23,78.27,80.41,80.95,86.51,92.74,96.47,100.80,104.60,104.86,104.69,104.69
E09000032,Wandsworth,60.17,60.79,65.61,66.95,70.05,72.48,77.48,81.62,86.98,94.63,99.84,105.06,108.07,104.64,112.49,121.36,130.83,125.59,128.45,128.63,128.14,126.35
E09000033,Westminster,66.65,68.62,73.96,76.15,77.84,81.30,81.59,84.26,87.08,90.22,93.96,93.64,96.61,98.03,106.03,111.43,117.92,122.19,126.14,131.87,129.98,127.09